university_admission_code,university_code,university_name,institution_type,region,province,major_group_code,major_group_name,submajor_code,submajor_name,major_admission_code,major_code,major_name,admission_method,subject_combination,combination_group,cutoff_score,score_scale,cutoff_score_30,is_scale_40,weighted_subject,weighted_subject_factor,gender_requirement,honors_program,campus,cutoff_2021,cutoff_2022,cutoff_2023,cutoff_2024,years_observed,cutoff_avg_recent,cutoff_std_recent,cutoff_trend,history_ambiguous,job_category,mapping_basis,mapping_confidence,job_demand_level,job_posting_count,job_avg_salary_million,job_median_salary_million,job_avg_experience_months,note
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7340115,7340115,Marketing,THPTQG,A00,A,27.78,30,27.78,False,,,,,,28.15,28.0,27.55,27.78,4,27.78,0.18,Ổn định,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7340115,7340115,Marketing,THPTQG,A01,A,27.78,30,27.78,False,,,,,,28.15,28.0,27.55,27.78,4,27.78,0.18,Ổn định,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7340115,7340115,Marketing,THPTQG,D01,D,27.78,30,27.78,False,,,,,,28.15,28.0,27.55,27.78,4,27.78,0.18,Ổn định,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Báo chí - Marketing - Quảng cáo - PR,,,7340115,7340115,Marketing,THPTQG,D07,D,27.78,30,27.78,False,,,,,,28.15,28.0,27.55,27.78,4,27.78,0.18,Ổn định,False,marketing_truyền_thông_quảng_cáo_nội_dung,major_name_keyword,high,Rất cao,5946.0,14.379117108874658,12.5,15.083921964345778,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Tài chính - Ngân hàng - Bảo hiểm,,,7340116,7340116,Bất động sản,THPTQG,A00,A,26.83,30,26.83,False,,,,,,27.2,26.65,26.4,26.83,4,26.63,0.18,Ổn định,False,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Tài chính - Ngân hàng - Bảo hiểm,,,7340116,7340116,Bất động sản,THPTQG,A01,A,26.83,30,26.83,False,,,,,,27.2,26.65,26.4,26.83,4,26.63,0.18,Ổn định,False,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Tài chính - Ngân hàng - Bảo hiểm,,,7340116,7340116,Bất động sản,THPTQG,D01,D,26.83,30,26.83,False,,,,,,27.2,26.65,26.4,26.83,4,26.63,0.18,Ổn định,False,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Tài chính - Ngân hàng - Bảo hiểm,,,7340116,7340116,Bất động sản,THPTQG,D07,D,26.83,30,26.83,False,,,,,,27.2,26.65,26.4,26.83,4,26.63,0.18,Ổn định,False,xây_dựng_kiến_trúc_bất_động_sản,major_name_keyword,high,Trung bình,2809.0,19.24635128334172,16.0,22.25062299750801,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340120,7340120,Kinh doanh quốc tế,THPTQG,A00,A,27.71,30,27.71,False,,,,,,28.25,28.0,27.5,27.71,4,27.74,0.2,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340120,7340120,Kinh doanh quốc tế,THPTQG,A01,A,27.71,30,27.71,False,,,,,,28.25,28.0,27.5,27.71,4,27.74,0.2,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340120,7340120,Kinh doanh quốc tế,THPTQG,D01,D,27.71,30,27.71,False,,,,,,28.25,28.0,27.5,27.71,4,27.74,0.2,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7340120,7340120,Kinh doanh quốc tế,THPTQG,D07,D,27.71,30,27.71,False,,,,,,28.25,28.0,27.5,27.71,4,27.74,0.2,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
